,puuid,champion,championLevel,championPoints,lastPlayTime,pointsSinceLastLevel,pointsUntilNextLevel,tokensEarned,markRequiredForNextLevel,seasonMilestone
55,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,85,4,14772,2025-04-30 17:21:35,2172,6828,0,1,0
56,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,131,4,14678,2017-12-27 21:52:05,2078,6922,0,1,0
57,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,84,4,14183,2025-04-24 18:05:01,1583,7417,1,1,0
58,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,45,4,14037,2020-11-14 14:25:17,1437,7563,0,1,0
59,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,127,4,13552,2025-03-14 14:21:50,952,8048,0,1,0
60,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,115,4,13157,2025-05-11 15:07:23,557,8443,1,1,0
61,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,119,4,13045,2025-05-17 13:16:12,445,8555,2,1,0
62,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,893,4,12753,2025-05-01 23:02:42,153,8847,3,1,0
63,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,29,3,11989,2024-06-26 20:09:32,5989,611,0,0,0
64,pBCQNC6A1bDHYvQmSmUIRqH8nJsIySAjsSCEsZzjN9wPEHslL3d8FTE5Pw7LqGJOp8LEdndBN_I5Rw,51,3,11815,2025-05-07 21:26:45,5815,785,0,0,0
